[2017-08-01 15:07:59.533] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycity/city.js 304 
[2017-08-01 15:07:59.533] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/jquery.validator.js 304 
[2017-08-01 15:07:59.534] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/validate/zh_CN.js 304 
[2017-08-01 15:07:59.534] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/page.js 304 
[2017-08-01 15:07:59.543] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /fonts/fontawesome-webfont.woff?v=4.5.0 304 
[2017-08-01 15:07:59.550] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/index_title_lift.jpg 304 
[2017-08-01 15:07:59.550] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/jcsw/index_title_right.jpg 304 
[2017-08-01 15:07:59.550] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/admin.png 304 
[2017-08-01 15:07:59.559] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/ajax-loader.gif 304 
[2017-08-01 15:07:59.560] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/index.js 304 
[2017-08-01 15:07:59.563] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap.min.js 304 
[2017-08-01 15:07:59.612] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /menu/list?seqNo=1002&sysType=2 304 
[2017-08-01 15:07:59.672] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /getAreaMenu204/list?p_id=2&seqNo=1001 304 
[2017-08-01 15:07:59.714] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /images/icon-aside.png 304 
[2017-08-01 15:07:59.822] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /home 200 
[2017-08-01 15:07:59.837] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/backstage/home.js?_=1501571278943 200 
[2017-08-01 15:08:00.091] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /area/list?callback=jQuery111100206079253709881_1501571278944&state=1&p_id=2&_=1501571278945 200 
[2017-08-01 15:08:00.381] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /water/total?callback=jQuery111100206079253709881_1501571278944&company=2&_=1501571278946 200 
[2017-08-01 15:09:59.035] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /index?type=2 304 
[2017-08-01 15:09:59.077] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/index.css 304 
[2017-08-01 15:09:59.078] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/skins/_all-skins.css 304 
[2017-08-01 15:09:59.078] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/depei.css 304 
[2017-08-01 15:09:59.078] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/font-awesome.min.css 304 
[2017-08-01 15:09:59.079] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/select2/select2.min.css 304 
[2017-08-01 15:09:59.082] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/jquery-ui/css/jquery-ui.min.css 304 
[2017-08-01 15:09:59.105] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/zTree/css/zTreeStyle.css 304 
[2017-08-01 15:09:59.105] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bxslider/jquery.bxslider.css 304 
[2017-08-01 15:09:59.105] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap-datepicker/datepicker.css 304 
[2017-08-01 15:09:59.109] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/common.css 304 
[2017-08-01 15:09:59.109] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/bootstrap/css/bootstrap.min.css 304 
[2017-08-01 15:09:59.109] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/bootstrap-datetimepicker.min.css 304 
[2017-08-01 15:09:59.134] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/fullcalendar/fullcalendar.min.css 304 
[2017-08-01 15:09:59.134] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /js/dookaycity/jquery.dookaycity.css 304 
[2017-08-01 15:09:59.134] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/page.css 304 
[2017-08-01 15:09:59.139] [INFO] logInfo - ::ffff:127.0.0.1 -  GET /css/zhangfan.css 304 
